slang,formal,unsure
Kya,kayak,0
sma,sama,0
msih,masih,0
kyak,kayak,0
gini,begini,0
anjay,anjir,1
Gemes,gemas,0
jd,jadi,0
pngn,pengin,0
ktmu,ketemu,1
dsni,disini,1
jdi,jadi,0
kluarga,keluarga,0
pajang,panjang,0
pengen,pengin,0
sm,sama,0
utk,untuk,0
dsebut,disebut,1
tdk,tidak,0
jgn,jangan,0
kereeeennn,keren,0
Azekkkk,asyik,1
apa2,apa-apa,1
udah,sudah,0
buktiin,membuktikan,1
Hubunggi,hubungi,0
Pembuktianya,pembuktiannya,1
ngebantu,membantu,0
Cantiiillx,cantik,0
bundaaaa,bunda,0
naekkkkk,naik,0
syg,sayang,0
hambaaarrrrr,hambar,0
bangettt,banget,0
cekk,cek,0
prodak,produk,0
prodak,produk,0
keliatan,kelihatan,1
ga,enggak,0
buktiin,membuktikan,1
yank,sayang,0
jga,juga,0
jgn,jangan,0
pgn,pengin,0
jd,jadi,0
Pengn,pengin,0
bg,bang,0
beliin,membelikan,1
jngan,jangan,0
trus,terus,0
g,enggak,0
yng,yang,0
mbaakkk,mbak,0
bgus,bagus,0
gk,enggak,0
kale,kali,0
ngomong,mengomong,1
mbk,mbak,0
Dtnggu,ditunggu,1
slalu,selalu,0
Mantep,mantap,0
udah,sudah,0
dapet,dapat,0
emang,memang,0
BANGETTTT,banget,0
COBAAA,coba,0
NYESEL,menyesal,0
jngn,jangan,0
ky,kayak,0
tdk,tidak,0
sbg,sebagai,0
utk,untuk,0
bgttt,banget,0
cepet,cepat,0
za,saja,0
mulut2,mulut-mulut,1
gni,begini,0
gak,enggak,0
ad,ada,0
Bnr2,benar-benar,1
smg,semoga,0
klian,kalian,0
lggeng,langgeng,0
trs,terus,0
keluaga,keluarga,0
aja,saja,0
ketebak,tertebak,0
niatan,berniat,1
adain,mengadakan,0
Mikirin,memikirkan,0
smga,semoga,0
slalu,selalu,0
Kya,kayak,0
akuhh,aku,0
bangetttttt,banget,0
disiapi,disiapkan,1
bginian,beginian,0
sma,sama,0
Kngen,kangen,0
Fillm,film,0
khadiran,kehadiran,0
dlm,dalam,0
kel,keluarga,0
dg,dengan,0
srta,serta,0
d,di,0
tmbah,tambah,0
kcil,kecil,0
cntik,cantik,0
mmberi,memberi,0
kberkahn,keberkahan,1
kbahagiaan,kebahagiaan,0
smoga,semoga,0
tntram,tentram,0
brsama,bersama,0
kel,keluarga,1
hngga,hingga,0
kl,kalau,0
ad,ada,0
yg,yang,0
brpndapat,berpendapat,1
mnilai,menilai,0
trutama,terutama,0
m,sama,1
jgn,jangan,0
hiraukn,hiraukan,1
diamkn,diamkan,1
sj,saja,0
hrsny,harusnya,0
mreka,mereka,0
brsyukur,bersyukur,0
in,ini,0
mmberikn,memberikan,0
utk,untuk,0
rasakn,rasakan,1
utk,untuk,0
cari2,cari-cari,1
kesalahanny,kesalahannya,1
kekuranganny,kekurangannya,1
seandainy,seandainya,0
yg,yang,0
sdh,sudah,0
it,itu,0
trutama,terutama,0
tiba2,tiba-tiba,0
matany,matanya,0
krn,karena,0
perasaanny,perasaannya,1
org,orang,0
smua,semua,0
eps,episode,0
Gmna,bagaimana,0
Cantiiiik,cantik,0
sprti,seperti,0
Garuk2,garuk-garuk,1
tembokk,tembok,0
MNGKIN,mungkin,0
MENGHILANGKN,menghilangkan,0
UTK,untuk,0
KARNA,karena,0
skali,sekali,0
kyak,kayak,0
ttep,tetap,0
diberitain,diberitakan,1
ttep,tetap,0
aja,saja,0
gak,enggak,0
Cma,cuma,0
pnya,punya,0
ama,sama,0
kacian,kasihan,1
skr,sekarang,0
dg,dengan,0
artis2,artis-artis,1
sdaahh,sudah,0
patunh,patung,0
dr,dari,0
slmt,selamat,0
ank,anak,0
smg,semoga,0
sm,sama,0
km,kamu,0
Ttp,tetap,0
greng,goreng,0
Kdg,kadang,0
nyesel,menyesal,0
knp,kenapa,0
skrg,sekarang,0
ngerasa,merasa,1
nular,menular,0
skrg,sekarang,0
kebagi,terbagi,0
K,kak,0
bngt,banget,0
lgu,lagu,0
liatin,melihati,0
ny,nya,0
d,di,0
sdh,sudah,0
jd,jadi,0
nulis,menulis,0
Udh,sudah,0
slsai,selesai,0
Cucok,cocok,0
bangeeet,banget,0
ngoment,mengomentari,1
ngasi,mengasih,0
gmn,bagaimana,0
ngeliat,melihati,1
nyegerin,menyegarkan,1
miriip,mirip,0
Cwo,cowok,0
brantem,berantem,1
gara2,gara-gara,1
belain,membela,0
lia,lihat,0
samua,semua,0
Gk,enggak,0
msh,masih,0
blm,belum,0
klo,kalau,0
uda,sudah,0
geramm,geram,0
dtunggu,ditunggu,1
jga,juga,0
mimin,admin,1
istimewaaaa,istimewa,0
Putusss,putus,0
ga,enggak,0
kaka,kakak,0
saranin,menyarankan,0
skrng,sekarang,0
sbg,sebagai,0
tntu,tentu,0
pngn,pengin,0
bgt,banget,0
mrka,mereka,0
sdah,sudah,0
Segerrrr,segar,0
ngumpat,mengumpat,0
nantangin,menantang,1
mukul,memukul,0
gtu,begitu,0
ngegampar,menggampar,1
anak2,anak-anak,0
HARII,hari,0
BENER,benar,0
makaannnn,makan,0
bangt,banget,0
keilangan,kehilangan,0
rasain,rasakan,0
mmg,memang,0
cantek,cantik,0
bhaday,badai,1
ni,ini,0
syg,sayang,0
klrga,keluarga,0
kyk,kayak,0
dlu,dulu,0
klihatan,kelihatan,0
cintax,cintanya,1
bgtu,begitu,0
ma,sama,0
tipi,televisi,1
pnuh,penuh,0
ngrti,mengerti,0
lg,lagi,0
ap,apa,0
artix,artinya,1
min,admin,0
Kangennnn,kangen,0
cantiq,cantik,0
gene,begini,0
nyatakan,menyatakan,0
Graaatiiiis,gratis,0
Cuantik,cantik,0
sapa,siapa,0
km,kamu,0
geneeee,begini,0
ni,ini,0
jd,jadi,0
hnya,hanya,0
konsekwensi,konsekuensi,0
Slmt,selamat,0
Jln,jalan,0
smga,semoga,0
kt,kita,0
mlysia,malaysia,1
tdk,tidak,0
lgi,lagi,0
krna,karena,0
Nggakkkk,enggak,0
saahhhh,sah,0
foto2,foto-foto,1
thn,tahun,0
seruuu,seru,0
Kangeen,kangen,0
Sedihh,sedih,0
dmn,dimana,1
emg,memang,0
lbh,lebih,0
adkny,adiknya,1
drpd,daripada,0
kakakny,kakaknya,1
nemu,menemukan,1
abis,habis,0
nntn,menonton,0
cantiiikkk,cantik,0
pke,pakai,0
Suksess,sukses,0
slalu,selalu,0
jt,juta,0
prlu,perlu,0
kaliannnnnnn,kalian,0
kluarga,keluarga,0
jng,jangan,0
klaw,kalau,0
qta,kita,0
cb,coba,0
ttg,tentang,0
sgt,sangat,0
hrs,harus,0
bru,baru,0
bs,bisa,0
bw,bawa,0
bpknya,bapaknya,1
utk,untuk,0
sblm,sebelum,0
bngettt,banget,0
nyangka,menyangka,0
kageet,kaget,0
rekomendasinyaa,rekomendasinya,1
tpi,tapi,0
dgn,dengan,0
drdl,dari,0
dl,dulu,0
tw,tahu,0
wktu,waktu,0
binggo,banget,1
sll,selalu,0
ngormatin,menghormati,1
walo,walau,0
Bs,bisa,0
jd,jadi,0
Gmana,bagaimana,0
cocoook,cocok,0
mesen,memesan,0
Loe,lo,0
kawinin,mengawinkan,1
lgi,lagi,0
Dak,enggak,1
duhhayyy,duhai,1
blsan,balasan,0
pemiarsahh,pemirsa,0
tunjukn,tunjukkan,1
somseu,sombong,1
kgn,kangen,0
nangisss,menangis,0
abg,abang,0
trs,terus,0
Wahaiiii,wahai,0
dg,dengan,0
nyinden,menyinden,0
prnah,pernah,0
lpa,lupa,0
Kanggen,kangen,0
Mantabs,mantap,0
JGN,jangan,0
DGN,dengan,0
bs,bisa,0
ninggiin,meninggikan,1
lama2,lama-lama,0
ilang,hilang,0
ngerasa,merasa,0
gw,gue,0
ngikutin,mengikuti,0
hbs,habis,0
skrg,sekarang,0
nt,nanti,0
Galauuu,galau,0
Kumpulin,mengumpulkan,0
buanyaaak,banyak,0
bangeet,banget,0
q,aku,0
bca,baca,0
ampe,sampai,0
netes,menetes,0
byangin,membayangkan,0
trjadi,terjadi,0
ma,sama,0
q,aku,0
skrg,sekarang,0
pnya,punya,0
bln,bulan,0
dposisi,diposisi,1
mgkn,mungkin,0
g,enggak,0
utk,untuk,0
dasyat,dahsyat,0
Smngat,semangat,0
iniiiiiiiiiiiiiii,ini,0
NUNGGU,menunggu,0
aja,saja,0
thn,tahun,0
ngikutin,mengikuti,0
mrekaaaa,mereka,0
slalu,selalu,0
Ngakak,mengakak,0
njirrr,anjir,1
gampilll,gampang,1
Met,selamat,0
Mauuu,mau,0
kmauan,kemauan,0
truslahh,teruslah,1
brkarya,berkarya,0
iniw,ini,0
kw,kau,0
ngelucu,melucu,0
yoo,ya,0
bukak,buka,0
BNYAK,banyak,0
ORNG,orang,0
MUNAFIKK,munafik,0
TAIK,tahi,0
TU,itu,0
BNYAK,banyak,0
LAEN,lain,0
ngenes,mengenaskan,1
c,si,0
lutunaa,lucunya,1
critamu,ceritamu,1
kw,kau,0
ja,saja,0
dl,dulu,0
tu,itu,0
kl,kalau,0
dh,sudah,0
bres,beres,0
cmkn,camkan,1
syg,sayang,0
ayahb,ayah,0
mestik,mesti,0
br,baru,0
d,di,0
gk,enggak,0
trllu,terlalu,0
ank,anak,0
yg,yang,0
tdk,tidak,0
mnutup,menutup,0
Maf,maaf,0
cm,cuma,0
mengingatkn,mengingatkan,0
Amiiiinnn,amin,0
mreka,mereka,0
psangan,pasangan,0
yg,yang,0
skali,sekali,0
burem,buram,0
Mnisss,manis,0
azeeeek,asyik,0
kalii,kali,0
Miripppp,mirip,0
bgsss,bagus,0
bgtt,banget,0
yaaa,ya,0
bngetttttt,banget,0
bgni,begini,0
Pd,pada,0
pnting,penting,0
pnya,punya,0
dlm,dalam,0
smpe,sampai,0
marah2an,marah-marahan,1
prnh,pernah,0
wlaupun,walaupun,0
ud,sudah,0
ngerti,mengerti,0
gimana,bagaimana,0
krn,karena,0
idung,hidung,0
sy,saya,0
Najong,najis,1
trus,terus,0
becanda,bercanda,0
aja,saja,0
niie,ini,0
jgk,juga,0
tmpt,tempat,0
prncis,perancis,1
mksd,maksud,0
aqu,aku,0
bawak,bawa,0
Skrg,sekarang,0
pk,pakai,0
kk,kakaknya,0
nahannnn,menahan,0
barang2,barang-barang,0
ak,aku,0
bgt,banget,0
sm,sama,0
bener,benar,0
kelihatn,kelihatan,1
mbk,mbak,0
kerennnnnn,keren,0
cantiiiiiiiiiiiiiiiiiiiiikkkkkkkkk,cantik,0
bgt,banget,0
spatu,sepatu,0
psg,pasang,0
nglakuin,melakukan,1
wktu,waktu,0
ngelaporin,melaporkan,0
krna,karena,0
memamg,memang,0
bgaimana,bagaimana,0
tdk,tidak,0
ajja,saja,0
tinggalin,meninggalkan,1
dripada,daripada,0
dgn,dengan,0
jg,juga,0
ato,atau,0
srmbarang,sembarang,1
Cantiiikkk,cantik,0
pake,pakai,0
syediih,sedih,0
kamuuu,kamu,0
klaw,kalau,0
thn,tahun,0
kta,kita,0
ato,atau,0
Sukakkk,suka,0
bgt,banget,0
m,sama,0
kenceng,kencang,0
Mantapp,mantap,0
lahiran,melahirkan,1
tetep,tetap,0
sempet,sempat,0
pake,pakai,0
artix,artinya,0
anugrah,anugerah,0
blajar,belajar,0
stuju,setuju,0
sm,sama,0
mba,mbak,0
mrnurut,menurut,0
anak2,anak-anak,0
yg,yang,0
MURCEE,murah,1
sempet,sempat,0
yng,yang,0
dbuat,dibuat,1
nnek,nenek,0
Suka2,suka-suka,1
kelus,kali,1
syang,sayang,0
hubngan,hubungan,0
sma,sama,0
atw,atau,0
ama,sama,0
shay,sayang,1
seruuuuuu,seru,0
prut,perut,0
kyk,kayak,0
gtu,begitu,0
Cantikk,cantik,0
anknya,anaknya,1
banggget,banget,0
laen,lain,0
ngomentarin,mengomentari,0
ajah,saja,0
msg2,masing-masing,0
ngatain,mengatai,0
ampuuunnn,ampun,0
smw,semua,0
foto2,foto-foto,1
ttp,tetap,0
Rinduuuuuuuuuu,rindu,0
jwb,jawab,0
yha,ya,0
kkk,kakak,0
dri,dari,0
pda,pada,0
ngeriiii,ngeri,0
maluuu,malu,0
sempet,sempat,0
karna,karena,0
seneng,senang,0
ama,sama,0
ngomng,mengomong,0
ndeso,desa,1
tpi,tapi,0
gw,gue,0
pkai,pakai,0
nontoonnn,nonton,0
dgn,dengan,0
mnusiaa,manusia,0
gk,enggak,0
beradap,beradab,1
Org,orang,0
pnggila,penggila,0
bangt,banget,0
ma,sama,0
eloo,lo,0
garemin,menggarami,1
pala,kepala,0
mreka,mereka,0
klian,kalian,0
diem,diam,0
napa,kenapa,0
gk,enggak,0
sdar,sadar,0
uda,sudah,0
byk,banyak,0
jgn,jangan,0
numpuk,menumpuk,1
Ucul,lucu,1
betulllll,betul,0
nikahin,menikahi,0
cwe,cewek,0
msa,masa,0
cwo,cowok,0
aq,aku,0
dul,dulu,0
ELU,lucu,0
BGT,banget,0
Aminnnn,amin,0
bnyk,banyak,0
klo,kalau,0
bnyk,banyak,0
Ati2,hati-hati,0
ntar,entar,0
lgi,lagi,0
ak,aku,0
KECANG,kencang,0
msh,masih,0
apus,hapus,0
sng,senang,0
uda,sudah,0
blom,belum,0
muluuu,melulu,1
kuliyh,kuliah,0
gantengg,ganteng,0
bngett,banget,0
kakk,kak,0
nyong,monyong,1
butuhh,butuh,0
lucuuuu,lucu,0
bngett,banget,0
trus,terus,0
bingitt,banget,0
sm,sama,0
karna,karena,0
hancuuurrr,hancur,0
faham,paham,0
tanda2,tanda-tanda,0
adlh,adalah,0
syaiton,setan,1
ma,sama,0
idung,hidung,0
na,nya,0
tp,tapi,0
jgn,jangan,0
jaa,saja,0
sm,sama,0
aq,aku,0
mo,mau,0
dkt2,dekat-dekat,1
sm,sama,0
tp,tapi,0
klo,kalau,0
bs,bisa,0
rmh,rumah,0
g,enggak,0
nggali,menggali,0
cmpur,campur,0
Kocaaaakkk,kocak,0
abiiiss,habis,0
Mantapp,mantap,0
mrah,murah,1
bsa,bisa,0
Deket,dekat,0
dekt,dekat,0
Gimn,bagaimana,1
langgemg,langgeng,0
teruss,terus,0
yaaaa,ya,0
bangedd,banget,0
Bole,boleh,0
Emg,memang,0
ragukn,ragukan,1
lgi,lagi,0
prestasix,prestasinya,1
dn,dan,0
negri,negeri,0
Kyg,kayak,0
jga,juga,0
hajaaarrrrrrr,hajar,0
nyusul,menyusul,0
Kwereenn,keren,0
Pgen,pengin,0
jls,jelas,0
tappi,tapi,0
mang,memang,0
dahh,sudah,0
cantikk,cantik,0
kalli,kali,0
mba,mbak,0
jngn,jangan,0
pacara,pacaran,0
jga,juga,0
kalli,kali,0
maen,main,0
nuduh,menuduh,0
ngerebut,merebut,0
lluu,lu,0
ngerussak,merusak,0
mreka,mereka,0
bella,bela,0
jngn,jangan,0
pke,pakai,0
kallo,kalau,0
dewassa,dewasa,0
jngn,jangan,0
kallo,kalau,0
dlu,dulu,0
sya,saya,0
skr,sekarang,0
sdng,sedang,0
sj,saja,0
kta,kita,0
bingitz,banget,0
py,tapi,1
gya,gaya,0
skali,sekali,0
ank,anak,0
bleeh,boleh,0
Ttp,tetap,0
gantheng,ganteng,0
synk,sayang,0
ja,saja,1
sabaarrr,sabar,0
CANTIIIIKK,cantik,0
bangeeeeetttt,banget,0
mengharuskanx,mengharuskannya,1
jngn,jangan,0
sm,sama,0
kemarn,kemarin,0
luthuna,lucunya,1
gt,begitu,0
ga,enggak,0
komen,komentar,0
ttg,tentang,0
komenan,komentar,1
sng,senang,0
Org2,orang-orang,0
hebatt,hebat,0
kbnyakn,kebanyakan,0
gk,enggak,0
dhargai,dihargai,1
mkx,makanya,1
bnyakk,banyak,0
yg,yang,0
pd,pada,0
pindahh,pindah,0
krja,kerja,0
d,di,0
luarr,luar,0
krn,karena,0
d,di,0
sna,sana,0
mrk,mereka,0
lbihh,lebih,0
dhrgai,dihargai,0
cntohx,contohnya,1
yg,yang,0
lbh,lebih,0
mlih,memilih,0
krja,kerja,0
prempuan,perempuan,0
yg,yang,0
dlu,dulu,0
jg,juga,0
skrg,sekarang,0
mlah,malah,0
krja,kerja,0
d,di,0
sbg,sebagai,0
sy,saya,0
stuju,setuju,0
ma,sama,0
mbaq,mbak,0
syehaatt,sehat,0
Seluru,seluruh,0
pkek,pakai,0
pnjang,panjang,0
pla,pula,0
lg,lagi,0
Yaaakkksss,ya,0
Cntik,cantik,0
bnget,banget,0
smpahh,sumpah,0
emng,memang,0
Ngurusin,mengurusi,0
org,orang,0
ajah,saja,0
ak,aku,0
slu,selalu,0
makany,makanya,0
sdh,sudah,0
ekis,eksis,0
aq,aku,0
ajja,saja,0
nahan,menahan,0
kmu,kalau,0
gk,enggak,0
bol3h,boleh,0
ngadu,mengadu,1
ketauan,ketahuan,0
ma,sama,0
org,orang,0
kaka,kakak,0
kmarn,kemarin,0
gk,enggak,0
nyangka,menyangka,0
hr,hari,0
ni,ini,0
kembarrr,kembar,0
Ituu,itu,0
lebeh,lebih,0
kam,kamu,0
ngmngin,mengomongkan,1
Edannn,edan,0
Nggk,enggak,0
ngiri,mengiri,0
bnget,banget,0
dket,dekat,0
ama,sama,0
semngat,semangat,0
Mw,mau,0
ksn,kesana,1
tp,tapi,0
kpn,kapan,0
Hallooo,halo,0
kl,kalau,0
pakeaaan,pakaian,0
jntung,jantung,0
jugakkkk,juga,0
kbawa,terbawa,1
neko2,neko-neko,1
kmu,kamu,0
ngak,enggak,0
wenakk,enak,0
Gilaaaa,gila,0
canttikkk,cantik,0
baanggeettt,banget,0
anugrah,anugerah,0
dpet,dapat,0
Tpi,tapi,0
dpet,dapat,0
ngak,enggak,0
kayk,kayak,0
nti,nanti,0
bgtt,banget,0
thn,tahun,0
Sy,saya,0
jg,juga,0
pingin,pengin,0
sm,sama,0
tpi,tapi,0
ngg,enggak,0
Q,aku,0
setju,setuju,0
bngt,banget,0
sma,sama,0
Bnern,benaran,0
pcrn,pacaran,0
klian,kalian,0
Cm,cuma,0
nyimpn,menyimpan,0
jaaaaaaauh,jauh,0
kyak,kayak,0
pling,paling,0
byk,banyak,0
aq,aku,0
maw,mau,0
kereenn,keren,0
bgt,banget,0
bgtt,banget,0
ma,sama,0
km,kamu,0
Liattt,lihat,0
kaj,kak,0
lbh,lebih,0
dr,dari,0
km,kamu,0
nipu,menipu,0
ngerayain,merayakan,0
jgn,jangan,0
dpn,depan,0
org,orang,0
terburu2,terburu-buru,1
baik2,baik-baik,0
nanya,menanya,0
Sampe,sampai,0
dlam,dalam,0
smua,semua,0
trbaik,terbaik,0
d,di,0
mnggemaskan,menggemaskan,0
dilecehin,dilecehkan,1
belain,membela,1
ngebersihin,membersihkan,0
emng,memang,0
ngomong,mengomong,0
anak2,anak-anak,0
canti,cantik,0
udh,sudah,0
kpn,kapan,0
Coxok,cocok,0
bgt,banget,0
ama,sama,0
gk,enggak,0
gemess,gemas,0
dlm,dalam,0
Kasiaaannn,kasihan,0
Gak,enggak,0
nyangka,menyangka,0
mgg,minggu,0
kageet,kaget,0
say,sayang,0
ngerusak,merusak,0
troma,trauma,0
Soga,semoga,0
kl,kalau,0
yg,yang,0
gk,enggak,0
ngebedain,membedakan,0
ngurusin,mengurusi,0
mb,mbak,0
kawan2,kawan-kawan,0
bner,benar,0
bner,benar,0
bnget,banget,0
prodaknya,produknya,0
poko,pokok,0
prodak,produk,0
yg,yang,0
ga,enggak,0
bkal,bakal,0
nyesell,menyesal,0
poko,pokok,0
Amiiinn,amin,0
jdi,jadi,0
mentri,menteri,0
akn,akan,0
d,di,0
org,orang,0
tdk,tidak,0
slm,selama,0
ngelihat,melihat,0
pngn,pengin,0
m1inggu,minggu,0
pel4ngs1ng,pelangsing,0
ber4t,berat,0
bad4nku,badanku,0
datarrr,datar,0
emez,gemas,1
smpai,sampai,0
jugaaaa,juga,0
MERUBAH,mengubah,1
ITUNGAN,hitungan,0
kk,kakak,0
kenlin,perkenalkan,0
sma,sama,0
kk,kakak,0
sblumny,sebelumnya,0
rb,ribu,0
cma,cuma,0
Ngacaaa,mengaca,0
kasian,kasihan,0
kaaaaangen,kangen,0
kmu,kamu,0
Inni,ini,0
appa,apa,0
blm,belum,0
ttp,tetap,0
adyem,adem,0
kluar,keluar,0
pk,pakai,0
nha,nya,0
Abanggg,abang,0
seksii,seksi,0
gtuh,begitu,0
jadii,jadi,0
emeezzz,gemas,1
ama,sama,0
amohhh,kamu,0
kemarn,kemarin,0
cobain,mencoba,0
Buruak,buruan,0
luco,lucu,0
ngebenci,membenci,0
bngt,banget,0
ny,nya,0
dlu,dulu,0
kyak,kayak,0
terusss,terus,0
Bkn,bukan,0
g,enggak,0
ud,sudah,0
stagahhhh,astaga,0
GK,enggak,0
GK,enggak,0
NYANGKAA,menyangka,0
bagussssss,bagus,0
bgtttttt,banget,0
jugaaa,juga,0
cantikk,cantik,0
bgttt,banget,0
aq,aku,0
yha,ya,0
Semangattt,semangat,0
g,enggak,0
tp,tapi,0
gw,gue,0
jd,jadi,0
ctk,cantik,0
bgt,banget,0
Kk,kakak,0
kyk,kayak,0
gitu,begitu,0
km,kamu,0
dr,dari,0
canti,cantik,0
g,enggak,0
mba,mbak,0
gg,enggak,0
K,kak,0
Gg,enggak,0
potonya,fotonya,0
smoga,semoga,0
kakk,kakak,1
smkin,semakin,0
tmbah,tambah,0
bnget,banget,0
sma,sama,0
kakk,kak,0
skrg,sekarang,0
lht,lihat,0
kmu,kamu,0
skrg,sekarang,0
pake,pakai,0
sm,sama,0
kmu,kamu,0
gmn,bagaimana,0
bgus,bagus,0
mauuu,mau,0
Udh,sudah,0
tau,tahu,0
dri,dari,0
dlu,dulu,0
bnget,banget,0
masss,mas,0
dmn,dimana,1
Mauuuuu,mau,0
syantik,cantik,0
nolak,menolak,0
skalii,sekali,0
Hancuur,hancur,0
baang,bang,0
skrg,sekarang,0
daon,daun,0
gt,begitu,0
ngmngin,mengomongkan,1
baruuuuuuuuuu,baru,0
tp,tapi,0
dlu,dulu,0
kancang,kencang,0
kyak,kayak,0
gni,begini,0
bgun,bangun,0
tdr,tidur,0
aja,saja,0
cntik,cantik,0
lg,lagi,0
tdur,tidur,0
Nyaru,menyaru,1
aja,saja,0
kk,kakak,0
km,kamu,0
yank,sayang,1
seneng,senang,0
Y,ya,0
Njir,anjir,1
bngt,banget,0
lgu,lagu,0
pebdapat,pendapat,0
nyablak,cablak,1
Lucuuuu,lucu,0
PNGN,pengin,0
BKIN,bikin,0
sapa,siapa,0
km,kamu,0
tmbah,tambah,0
cntikk,cantik,0
pkee,pakai,0
ngomong,mengomong,0
mkin,makin,0
cntk,cantik,0
aj,saja,0
ama,sama,0
CEPET,cepat,0
cakapp,cakap,0
cantik2,cantik-cantik,0
ilang,hilang,0
sm,sama,0
nyebelin,menyebalkan,1
tp,tapi,0
gw,gue,0
QTA,kita,0
knp,kenapa,0
milih,memilih,0
msih,masih,0
ap,apa,0
telatt,telat,0
bangett,banget,0
yaa,ya,0
bnget,banget,0
nonton,menonton,0
BAGUUUS,bagus,0
BAANGET,banget,0
suk,suka,0
komen,komentar,0
kpan,kapan,0
Emang,memang,0
ngatur,mengatur,0
kyk,kayak,0
jrnk,jarang,0
bs,bisa,0
ngerasa,merasa,0
ga,enggak,0
cntq,cantik,0
ngatain,mengatai,0
msh,masih,0
sy,saya,0
cma,cuma,0
ngasih,mengasih,0
aj,saja,0
klo,kalau,0
udh,sudah,0
lahiran,melahirkan,0
lbh,lebih,0
aj,saja,0
k,ke,0
hdupmu,hidupmu,1
udh,sudah,0
ad,ada,0
yg,yang,0
ngatur,mengatur,0
drpd,daripada,0
diem,diam,1
d,di,0
jkrta,jakarta,1
smkin,semakin,0
bdanmu,badanmu,1
sy,saya,0
jg,juga,0
kasian,kasihan,0
anak2,anak-anak,0
mba,mbak,0
yg,yang,0
apa2,apa-apa,1
udh,sudah,0
jd,jadi,0
org,orang,0
kata2,kata-kata,0
sy,saya,0
yg,yang,0
cma,cuma,0
aj,saja,0
k,kak,0
ngatain,mengatai,1
ngaca,mengaca,0
km,kamu,0
sukkaaaa,suka,0
sm,sama,0
sukak,suka,0
ma,sama,0
skrg,sekarang,0
gak,enggak,0
gr2,gara-gara,0
uda,sudah,0
bermaksut,bermaksud,1
tp,tapi,0
karna,karena,0
emang,memang,0
tampialan,tampilan,0
dr,dari,0
Nikaah,nikah,0
aja,saja,0
Kk,kakak,0
pdhal,padahal,0
udh,sudah,0
aja,saja,0
sma,sama,0
Prcya,percaya,0
bkl,bakal,0
bhagaia,bahagia,0
lhir,lahir,0
btin,batin,0
sma,sama,0
Mngkn,mungkin,0
dy,dia,0
make,memakai,1
gimanaa,bagaimana,0
nebak,menebak,1
Hbis,habis,0
oprasii,operasi,1
yg,yang,0
dloe,dulu,0
aq,aku,0
bangettt,banget,0
dk,dek,1
muke,muka,1
slalu,selalu,0
nungguin,menunggu,1
bnget,banget,0
ketjee,kece,1
Benet,benar,0
bangetttt,banget,0
tuu,itu,0
sampe,sampai,0
tumpe,tumpah,0
taun,tahun,0
kmrn,kemarin,0
Klo,kalau,0
mantep,mantap,0
klau,kalau,0
cannnnntikkkkkkk,cantik,0
mukax,mukanya,1
kl,kalau,0
msh,masih,0
kapan2,kapan-kapan,0
sma,sama,0
sj,saja,0
lahiran,melahirkan,0
pake,pakai,0
ga,enggak,0
lpas,lepas,0
jga,juga,0
Ngeliatnya,melihatnya,1
sll,selalu,0
pen,pengin,0
pait,pahit,0
aq,aku,0
ma,sama,0
smua,semua,0
koment,komentar,0
aq,aku,0
tetep,tetap,0
jgn,jangan,0
koment,komentar,0
org,orang,0
yg,yang,0
dlam,dalam,0
smua,semua,0
trbaik,terbaik,0
nm,nama,0
dri,dari,0
ny,nya,0
klian,kalian,0
sapa,siapa,0
mreka,mereka,0
klian,kalian,0
trus,terus,0
trus,terus,0
klian,kalian,0
mrh,marah,0
pcaran,pacaran,0
dgn,dengan,0
or,orang,0
yg,yang,0
mrk,mereka,0
tdak,tidak,0
prcuma,percuma,0
klian,kalian,0
koment,komentar,0
dpt,dapat,0
wang,uang,0
gak,enggak,0
EMng,memang,0
ny,nya,0
klian,kalian,0
dpt,dapat,0
dr,dari,0
sma,sama,0
Kaka2,kakak-kakak,1
cantiikksss,cantik,0
slm,salam,0
knl,kenal,0
Yeapp,ya,0
nantiii,nanti,0
gk,enggak,0
maluuuuk,malu,0
rubah,ubah,0
bner,benar,0
bnget,banget,0
trun,turun,0
poko,pokok,1
mantepp,mantap,0
sma,sama,0
kaka,kakak,0
bangat,banget,0
klu,kalau,0
mw,mau,0
ngemeng,mengomong,0
ngaca,mengaca,0
dl,dulu,0
DAPETIN,mendapatkan,0
Hubunggii,hubungi,0
sm,sama,0
gw,gue,0
aj,saja,0
Kk,kakak,0
pake,pakai,0
emaaang,memang,0
jugaaak,juga,0
thn,tahun,0
Org,orang,0
yg,yang,0
byk,banyak,0
krn,karena,0
byk,banyak,0
PENGEN,pengin,0
ijin,izin,1
ma,sama,0
bnang,benang,0
bags,bagus,0
prnh,pernah,0
dl,dulu,0
jgn,jangan,0
trll,terlalu,0
sk,suka,0
hdp,hidup,0
org,orang,0
hdp,hidup,0
sndr,sendiri,0
dl,dulu,0
hndk,hendak,0
spt,seperti,0
dg,dengan,0
lbh,lebih,0
manisss,manis,0
klrg,keluarga,0
ama,sama,0
make,memakai,0
nonton,menonton,0
sampe,sampai,0
ahir,akhir,0
trus,terus,0
loe,lo,0
Nangiiiiis,menangis,0
nangiiis,menangis,0
cooocok,cocok,0
padet,padat,0
gara2,gara-gara,0
lgsg,langsung,0
ngakak,mengakak,0
lbh,lebih,0
bnget,banget,0
keliatan,kelihatan,0
bgt,banget,0
gk,enggak,0
